Iteration 1: c = [, s = Ú√Õ, state = 0
Iteration 297: c = {, s = txttt, state = 9
Iteration 298: c = a, s = rertr, state = 9
Iteration 299: c = (, s = aessa, state = 9
Iteration 300: c =  , s = exrss, state = 9
Iteration 301: c = t, s = ttttt, state = 9
Iteration 302: c = {, s = tstes, state = 9
Iteration 303: c = a, s = tette, state = 9
Iteration 304: c = ), s = txsex, state = 9
Iteration 305: c = r, s = rrtaa, state = 9
Iteration 306: c = ], s = satxs, state = 9
Iteration 307: c = [, s = raetx, state = 9
Iteration 308: c = r, s = xearx, state = 9
Iteration 309: c = ), s = rxxtx, state = 9
Iteration 310: c =  , s = rxata, state = 9
Iteration 311: c = e, s = atrtt, state = 9
Iteration 312: c = }, s = tastr, state = 9
Iteration 313: c = ], s = rextt, state = 9
Iteration 314: c = [, s = rrxxr, state = 9
Iteration 315: c = s, s = astae, state = 9
Iteration 316: c = r, s = atsta, state = 9
Iteration 317: c = }, s = tater, state = 9
Iteration 318: c = ], s = eastx, state = 9
Iteration 319: c = r, s = rrrae, state = 9
Iteration 320: c = (, s = aartt, state = 9
Iteration 321: c = x, s = sxxsa, state = 9
Iteration 322: c = [, s = asttt, state = 9
Iteration 323: c = s, s = tsers, state = 9
Iteration 324: c = {, s = atarr, state = 9
Iteration 325: c =  , s = axast, state = 9
Iteration 326: c = (, s = aetet, state = 9
Iteration 327: c = r, s = rrexs, state = 9
Iteration 328: c = e, s = ttaaa, state = 9
Iteration 329: c = [, s = sarxx, state = 9
Iteration 330: c = {, s = xrtsa, state = 9
Iteration 331: c = x, s = teerr, state = 9
Iteration 332: c = e, s = tssrx, state = 9
Iteration 333: c = ], s = rexrs, state = 9
Iteration 334: c = e, s = xxatt, state = 9
Iteration 335: c = ), s = eatet, state = 9
Iteration 336: c = {, s = tatax, state = 9
Iteration 337: c =  , s = tarrt, state = 9
Iteration 338: c = x, s = eesrr, state = 9
Iteration 339: c = e, s = rextr, state = 9
Iteration 340: c =  , s = axrxe, state = 9
Iteration 341: c = ), s = atxxr, state = 9
Iteration 342: c = t, s = xears, state = 9
Iteration 343: c = ), s = arsrt, state = 9
Iteration 344: c = (, s = xsaxs, state = 9
Iteration 345: c = (, s = xexrt, state = 9
Iteration 346: c = }, s = aaxra, state = 9
Iteration 347: c = r, s = raxxs, state = 9
Iteration 348: c = a, s = srsxs, state = 9
Iteration 349: c = r, s = tsets, state = 9
Iteration 350: c = ), s = xaere, state = 9
Iteration 351: c = [, s = tsatt, state = 9
Iteration 352: c = ], s = txsat, state = 9
Iteration 353: c = a, s = etatr, state = 9
Iteration 354: c =  , s = rtees, state = 9
Iteration 355: c = a, s = asxer, state = 9
Iteration 356: c = ], s = erxxs, state = 9
Iteration 357: c = {, s = xasxt, state = 9
Iteration 358: c = [, s = estte, state = 9
Iteration 359: c = {, s = xeexr, state = 9
Iteration 360: c = r, s = xeaas, state = 9
Iteration 361: c = t, s = exsar, state = 9
Iteration 362: c = [, s = seett, state = 9
Iteration 363: c = s, s = trexr, state = 9
Iteration 364: c = ), s = raxax, state = 9
Iteration 365: c = (, s = atrrx, state = 9
Iteration 366: c = x, s = trrxs, state = 9
Iteration 367: c = r, s = eerra, state = 9
Iteration 368: c = (, s = rraat, state = 9
Iteration 369: c = t, s = rteea, state = 9
Iteration 370: c = r, s = teexr, state = 9
Iteration 371: c = r, s = atxat, state = 9
Iteration 372: c = (, s = xrxxa, state = 9
Iteration 373: c = (, s = sttrs, state = 9
Iteration 374: c = ), s = extst, state = 9
Iteration 375: c = [, s = rsxtr, state = 9
Iteration 376: c =  , s = tatxx, state = 9
Iteration 377: c = e, s = tatxs, state = 9
Iteration 378: c =  , s = ttxsa, state = 9
Iteration 379: c = x, s = rxear, state = 9
Iteration 380: c = (, s = txxts, state = 9
Iteration 381: c = t, s = reeat, state = 9
Iteration 382: c = {, s = reaer, state = 9
Iteration 383: c = }, s = tastx, state = 9
Iteration 384: c = (, s = atasa, state = 9
Iteration 385: c = s, s = xxsxx, state = 9
Iteration 386: c = e, s = xarse, state = 9
Iteration 387: c = }, s = taaat, state = 9
Iteration 388: c = t, s = extxs, state = 9
Iteration 389: c =  , s = tatrx, state = 9
Iteration 390: c = ], s = taxte, state = 9
Iteration 391: c = }, s = exxrs, state = 9
Iteration 392: c = }, s = xstat, state = 9
Iteration 393: c = e, s = xssax, state = 9
Iteration 394: c = x, s = sseea, state = 9
Iteration 395: c = {, s = sexxs, state = 9
Iteration 396: c = ], s = eaear, state = 9
Iteration 397: c = r, s = srsxr, state = 9
Iteration 398: c = ], s = exsrs, state = 9
Iteration 399: c = e, s = rrrxa, state = 9
Iteration 400: c = a, s = rraea, state = 9
Iteration 401: c = {, s = rtaae, state = 9
Iteration 402: c = ], s = etees, state = 9
Iteration 403: c = [, s = texax, state = 9
Iteration 404: c =  , s = xxrxa, state = 9
Iteration 405: c = ), s = aaxte, state = 9
Iteration 406: c = (, s = trxse, state = 9
Iteration 407: c = r, s = srrrx, state = 9
Iteration 408: c = a, s = trext, state = 9
Iteration 409: c = x, s = esras, state = 9
Iteration 410: c = {, s = axtts, state = 9
Iteration 411: c = }, s = assea, state = 9
Iteration 412: c = ], s = aaaaa, state = 9
Iteration 413: c = }, s = aerts, state = 9
Iteration 414: c = }, s = tarxx, state = 9
Iteration 415: c = a, s = rrarx, state = 9
Iteration 416: c = [, s = etsss, state = 9
Iteration 417: c = x, s = sxxea, state = 9
Iteration 418: c = s, s = xtxas, state = 9
Iteration 419: c = ), s = reaax, state = 9
Iteration 420: c = x, s = stexx, state = 9
Iteration 421: c = ), s = txxtt, state = 9
Iteration 422: c = ], s = rrrtx, state = 9
Iteration 423: c = ), s = asetr, state = 9
Iteration 424: c = ], s = xrssr, state = 9
Iteration 425: c =  , s = sseee, state = 9
Iteration 426: c = (, s = ataar, state = 9
Iteration 427: c = [, s = rtsee, state = 9
Iteration 428: c = [, s = axtre, state = 9
Iteration 429: c = ], s = txsae, state = 9
Iteration 430: c =  , s = tsatt, state = 9
Iteration 431: c = a, s = xetts, state = 9
Iteration 432: c = a, s = exttt, state = 9
Iteration 433: c = }, s = tesre, state = 9
Iteration 434: c = a, s = arexa, state = 9
Iteration 435: c =  , s = esxxx, state = 9
Iteration 436: c = (, s = xetra, state = 9
Iteration 437: c = {, s = traax, state = 9
Iteration 438: c = r, s = araxt, state = 9
Iteration 439: c = r, s = tstee, state = 9
Iteration 440: c = (, s = etete, state = 9
Iteration 441: c = t, s = aeses, state = 9
Iteration 442: c = r, s = arete, state = 9
Iteration 443: c = ], s = xerxr, state = 9
Iteration 444: c = x, s = etxxe, state = 9
Iteration 445: c = x, s = sxasx, state = 9
Iteration 446: c = t, s = xrrxa, state = 9
Iteration 447: c = t, s = treas, state = 9
Iteration 448: c = t, s = rtsrs, state = 9
Iteration 449: c = e, s = atttt, state = 9
Iteration 450: c = (, s = exass, state = 9
Iteration 451: c = t, s = eaxaa, state = 9
Iteration 452: c = e, s = tsaxs, state = 9
Iteration 453: c = a, s = saera, state = 9
Iteration 454: c = s, s = aeees, state = 9
Iteration 455: c = a, s = xatxs, state = 9
Iteration 456: c = r, s = easts, state = 9
Iteration 457: c = x, s = eetsa, state = 9
Iteration 458: c = [, s = srrea, state = 9
Iteration 459: c = r, s = etrte, state = 9
Iteration 460: c = e, s = aaert, state = 9
Iteration 461: c =  , s = exxas, state = 9
Iteration 462: c = e, s = asaxa, state = 9
Iteration 463: c = {, s = eesex, state = 9
Iteration 464: c = ), s = txssr, state = 9
Iteration 465: c = {, s = xtart, state = 9
Iteration 466: c = e, s = eexax, state = 9
Iteration 467: c =  , s = ssaaa, state = 9
Iteration 468: c = }, s = raetr, state = 9
Iteration 469: c =  , s = ataat, state = 9
Iteration 470: c = }, s = xeatr, state = 9
Iteration 471: c = ], s = satts, state = 9
Iteration 472: c = t, s = xrrrx, state = 9
Iteration 473: c = a, s = axsxr, state = 9
Iteration 474: c = a, s = asaas, state = 9
Iteration 475: c = a, s = stsxt, state = 9
Iteration 476: c = a, s = tsrts, state = 9
Iteration 477: c = }, s = ttsse, state = 9
Iteration 478: c =  , s = etars, state = 9
Iteration 479: c = ], s = sxaas, state = 9
Iteration 480: c = ], s = xaaea, state = 9
Iteration 481: c = (, s = rstar, state = 9
Iteration 482: c = }, s = rxesa, state = 9
Iteration 483: c = t, s = raere, state = 9
Iteration 484: c = t, s = sxsxs, state = 9
Iteration 485: c = t, s = trsst, state = 9
Iteration 486: c = {, s = rtatr, state = 9
Iteration 487: c = r, s = exxsa, state = 9
Iteration 488: c = {, s = raxtr, state = 9
Iteration 489: c = }, s = xettt, state = 9
Iteration 490: c = ], s = arrar, state = 9
Iteration 491: c = (, s = ertxt, state = 9
Iteration 492: c = ], s = seret, state = 9
Iteration 493: c = x, s = satre, state = 9
Iteration 494: c = ], s = esetx, state = 9
Iteration 495: c = ], s = aetta, state = 9
Iteration 496: c = }, s = xaerx, state = 9
Iteration 497: c = t, s = easas, state = 9
Iteration 498: c = s, s = xsrss, state = 9
Iteration 499: c = (, s = aeexa, state = 9
Iteration 500: c = ), s = trsse, state = 9
Iteration 501: c = (, s = xetae, state = 9
Iteration 502: c = ], s = eetes, state = 9
Iteration 503: c = x, s = axtex, state = 9
Iteration 504: c = ), s = trrae, state = 9
Iteration 505: c = [, s = eerex, state = 9
Iteration 506: c = a, s = stexr, state = 9
Iteration 507: c = [, s = rrere, state = 9
Iteration 508: c = [, s = raxea, state = 9
Iteration 509: c =  , s = arsat, state = 9
Iteration 510: c = s, s = satrs, state = 9
Iteration 511: c =  , s = raasa, state = 9
Iteration 512: c = {, s = txtxs, state = 9
Iteration 513: c = (, s = srese, state = 9
Iteration 514: c = [, s = texrx, state = 9
Iteration 515: c = [, s = sestr, state = 9
Iteration 516: c = x, s = eeaxs, state = 9
Iteration 517: c =  , s = xarte, state = 9
Iteration 518: c = {, s = sexrx, state = 9
Iteration 519: c = {, s = rxerr, state = 9
Iteration 520: c = r, s = esrsr, state = 9
Iteration 521: c = t, s = ssaat, state = 9
Iteration 522: c = e, s = txtee, state = 9
Iteration 523: c = x, s = aexta, state = 9
Iteration 524: c = a, s = estxs, state = 9
Iteration 525: c = r, s = xesea, state = 9
Iteration 526: c = a, s = trssa, state = 9
Iteration 527: c = x, s = sxats, state = 9
Iteration 528: c = {, s = rexrx, state = 9
Iteration 529: c = x, s = trres, state = 9
Iteration 530: c = r, s = aatxr, state = 9
Iteration 531: c = t, s = asexa, state = 9
Iteration 532: c = r, s = etara, state = 9
Iteration 533: c = [, s = srtra, state = 9
Iteration 534: c =  , s = taeae, state = 9
Iteration 535: c = {, s = seeet, state = 9
Iteration 536: c = [, s = trttt, state = 9
Iteration 537: c = }, s = saaee, state = 9
Iteration 538: c = s, s = xrses, state = 9
Iteration 539: c = ), s = axsre, state = 9
Iteration 540: c = ), s = texsx, state = 9
Iteration 541: c = {, s = rraea, state = 9
Iteration 542: c = (, s = asetx, state = 9
Iteration 543: c = {, s = eeras, state = 9
Iteration 544: c = t, s = xxrex, state = 9
Iteration 545: c = s, s = xtaxx, state = 9
Iteration 546: c = }, s = tttss, state = 9
Iteration 547: c = r, s = tasss, state = 9
Iteration 548: c = ), s = xasra, state = 9
Iteration 549: c = {, s = sexas, state = 9
Iteration 550: c = (, s = ssxrr, state = 9
Iteration 551: c = ], s = rsxxa, state = 9
Iteration 552: c = (, s = rssxt, state = 9
Iteration 553: c = t, s = exrts, state = 9
Iteration 554: c = s, s = rtass, state = 9
Iteration 555: c = ), s = eteer, state = 9
Iteration 556: c = }, s = atsrr, state = 9
Iteration 557: c = x, s = aeass, state = 9
Iteration 558: c = a, s = exaae, state = 9
Iteration 559: c =  , s = ratex, state = 9
Iteration 560: c = r, s = rxrax, state = 9
Iteration 561: c = s, s = teaxe, state = 9
Iteration 562: c = ], s = xaxxx, state = 9
Iteration 563: c = {, s = etssr, state = 9
Iteration 564: c =  , s = sxtts, state = 9
Iteration 565: c = a, s = exttx, state = 9
Iteration 566: c = (, s = ateae, state = 9
Iteration 567: c = a, s = strxe, state = 9
Iteration 568: c = (, s = teses, state = 9
Iteration 569: c = }, s = raete, state = 9
Iteration 570: c = {, s = tetrx, state = 9
Iteration 571: c = x, s = sasxa, state = 9
Iteration 572: c =  , s = xxers, state = 9
Iteration 573: c = }, s = xeert, state = 9
Iteration 574: c = r, s = xetas, state = 9
Iteration 575: c = a, s = aaxtr, state = 9
Iteration 576: c = s, s = astxx, state = 9
Iteration 577: c = ], s = ttrax, state = 9
Iteration 578: c =  , s = xaxtt, state = 9
Iteration 579: c = {, s = arxse, state = 9
Iteration 580: c = t, s = sxtre, state = 9
Iteration 581: c = e, s = tttes, state = 9
Iteration 582: c = e, s = saxes, state = 9
Iteration 583: c =  , s = etext, state = 9
Iteration 584: c = ), s = eeaax, state = 9
Iteration 585: c = x, s = aatre, state = 9
Iteration 586: c = t, s = asrtt, state = 9
Iteration 587: c = a, s = raxxt, state = 9
Iteration 588: c = (, s = serea, state = 9
Iteration 589: c = x, s = saeas, state = 9
Iteration 590: c = r, s = xxxet, state = 9
Iteration 591: c = {, s = srarx, state = 9
Iteration 592: c = x, s = exrtr, state = 9
Iteration 593: c =  , s = rrear, state = 9
Iteration 594: c = (, s = tstts, state = 9
Iteration 595: c = e, s = sarsr, state = 9
Iteration 596: c = (, s = ttaaa, state = 9
Iteration 597: c = ), s = eaxrx, state = 9
Iteration 598: c = x, s = essss, state = 9
Iteration 599: c =  , s = tarre, state = 9
Iteration 600: c =  , s = eetss, state = 9
Iteration 601: c = {, s = rtrxt, state = 9
Iteration 602: c = s, s = asxsx, state = 9
Iteration 603: c = ), s = rtext, state = 9
Iteration 604: c = r, s = eaxer, state = 9
Iteration 605: c = s, s = xaxre, state = 9
Iteration 606: c = ], s = txaer, state = 9
Iteration 607: c = t, s = rtrte, state = 9
Iteration 608: c = {, s = stesa, state = 9
Iteration 609: c = t, s = axtss, state = 9
Iteration 610: c = (, s = xreea, state = 9
Iteration 611: c = a, s = saexs, state = 9
Iteration 612: c = }, s = asxse, state = 9
Iteration 613: c = ), s = xears, state = 9
Iteration 614: c = r, s = reaxe, state = 9
Iteration 615: c = }, s = aaeee, state = 9
Iteration 616: c = [, s = xsrsr, state = 9
Iteration 617: c = {, s = seaet, state = 9
Iteration 618: c =  , s = tasxa, state = 9
Iteration 619: c = [, s = eerex, state = 9
Iteration 620: c = (, s = attxx, state = 9
Iteration 621: c = ), s = srsrr, state = 9
Iteration 622: c = e, s = txtex, state = 9
Iteration 623: c = ), s = sxxax, state = 9
Iteration 624: c = [, s = ttses, state = 9
